Name,Done,主題,類型,來源,Link,Property
讓圖不只是好看的－資訊設計思考力！,No,科學,課程,hahow,https://hahow.in/courses/572be49fd60bb3090091d208/main,
全民防疫通識課：陳建仁副總統來開講,No,科學,課程,hahow,https://hahow.in/courses/5e8d70a52aa77e6f34d6fded/main,
晶圓代工爭霸戰：半導體知識（前傳）,No,科學,文章,,https://kopu.chat/2017/03/24/%e6%95%b8%e4%bd%8d%e6%99%82%e4%bb%a3%e7%9a%84%e5%9f%ba%e7%9f%b3%ef%bc%9a%e5%8d%8a%e5%b0%8e%e9%ab%94/,
晶圓代工爭霸戰：台積電vs聯電,No,科學,文章,,https://kopu.chat/2017/03/25/%e6%99%b6%e5%9c%93%e4%bb%a3%e5%b7%a5%e6%88%b0%e7%88%ad-%e5%8f%b0%e7%a9%8d%e9%9b%bbv%e8%81%af%e9%9b%bb/,
晶圓代工爭霸戰：台積電VS三星,No,科學,文章,,https://kopu.chat/2017/03/31/%e6%99%b6%e5%9c%93%e4%bb%a3%e5%b7%a5%e7%88%ad%e9%9c%b8%e6%88%b0%ef%bc%9a%e5%8f%b0%e7%a9%8d%e9%9b%bbvs%e4%b8%89%e6%98%9f/,
晶圓代工爭霸戰– 英特爾VS格羅方德VS中芯,No,科學,文章,,https://kopu.chat/2017/04/01/%e6%99%b6%e5%9c%93%e4%bb%a3%e5%b7%a5%e7%88%ad%e9%9c%b8%e6%88%b0-%e8%8b%b1%e7%89%b9%e7%88%bevs%e6%a0%bc%e7%be%85%e6%96%b9%e5%be%b7vs%e4%b8%ad%e8%8a%af/,
一看就懂的 IC 產業結構與競爭關係,No,科學,文章,,https://kopu.chat/2017/04/08/ic-industry/,
格羅方德為何放棄7nm製程，穩固台積電先進製程地位？,No,科學,文章,,https://kopu.chat/2018/09/27/lynn_gf/,
人類可以在核子冬天下存活嗎?,No,科學,影片,youtube,https://www.youtube.com/watch?v=z1xuwHIrLL0&feature=youtu.be,
為什麼會頭痛?,No,科學,影片,youtube,https://www.youtube.com/watch?v=w7qKAX7vVNo&feature=youtu.be,
為什麼我們注定當邊緣人?,No,科學,影片,youtube,https://www.youtube.com/watch?v=aGyw2aKY_D8&feature=youtu.be,
科技能救命!?,No,科學,影片,youtube,https://www.youtube.com/watch?v=5DPNdTtF8rw&feature=youtu.be,
充滿著自動駕駛車的世界會是什麼樣子?,No,科學,影片,youtube,https://www.youtube.com/watch?v=a0IP5jvuIrU&feature=youtu.be,
如何創造第二個地球?,No,科學,影片,youtube,https://www.youtube.com/watch?v=tNyMdJRpHYk&feature=youtu.be,
地球磁場顛倒會發生什麼事?,No,科學,影片,youtube,https://www.youtube.com/watch?v=4AG8iCqqN4E&feature=youtu.be,
聽覺錯覺！你覺得你聽力很好嗎？10秒測驗告訴你：不一定！,No,科學,影片,,https://getpocket.com/a/read/705803463,
三分鐘搞懂重力波,No,科學,影片,youtube,https://www.youtube.com/watch?v=vNXJfDvNc2s&feature=youtu.be,
盜版的未來 | 資訊分享，鎖得住？,No,科學,影片,youtube,https://www.youtube.com/watch?v=f-xhJVy5aMc&feature=youtu.be,
Fractals are not always self-similar,No,科學,影片,youtube,https://www.youtube.com/watch?v=gB9n2gHsHN4&feature=youtu.be,
Ever wonder how Bitcoin (and other cryptocurrencies) actually work?,No,科學,影片,youtube,https://www.youtube.com/watch?v=bBC-nXj3Ng4&feature=youtu.be,
Why Isn't It Faster To Fly West?,No,科學,影片,youtube,https://www.youtube.com/watch?v=3gNkgj9h2oM,
知識的幻覺,No,科學,影片,youtube,https://www.youtube.com/watch?v=2Tuse3Y-1pg&feature=youtu.be,
玩游??何要60?才流?，?影?只需24?？,No,科學,影片,youtube,https://www.youtube.com/watch?v=--OKrYxOb6Y&feature=youtu.be,
健身教練是不是都很討厭跑步這項運動,No,科學,文章,PTT,https://www.ptt.cc/bbs/Gossiping/M.1536857927.A.A54.html,
美國人數學爛 怎麼科技最強,No,科學,文章,PTT,https://moptt.tw/p/Gossiping.M.1533304800.A.19D,
全片幅,No,科學,文章,,https://www.fotobeginner.com/248/what-is-full-frame/,
QLED 與 OLED 螢幕,No,科學,文章,,https://www.kocpc.com.tw/archives/210497,
單反、無反、微單眼、類單眼？到底有什麼區別,No,科學,文章,,http://zin-photography.blogspot.com/2015/04/blog-post_22.html,
全片幅,No,科學,文章,PTT,https://moptt.tw/p/Gossiping.M.1535258522.A.20D,
慶富獵雷艦詐貸弊案 懶人包一次看懂,No,政治,文章,,https://money.udn.com/money/story/5641/2634655,
民進黨的勞基法真的比國民黨時期爛嗎？,No,政治,文章,PTT,https://www.ptt.cc/bbs/Gossiping/M.1543128476.A.87C.html,
你不知道的丁守中-大丁小傳精華版,No,政治,文章,PTT,https://disp.cc/amp/163-aWnl,
【懶人包】「東奧正名」公投通過或沒通過會怎樣？,No,政治,文章,,https://www.thenewslens.com/article/108085,
台獨只能做不能說,No,政治,文章,PTT,https://moptt.tw/p/Gossiping.M.1534568410.A.9D7,
「反媒體壟斷運動」VS「蔡旺旺」事件簿,No,政治,文章,,https://prezi.com/cnfwehlsy3t7/i-dont-want-want/,
垃圾不分藍綠,No,政治,文章,PTT,https://disp.cc/b/163-auyU,
想台獨原因,No,政治,文章,PTT,https://disp.cc/b/163-8D5j,
讓一些人先富起來,No,政治,文章,PTT,https://www.ptt.cc/man/ck54th122/D1B5/DD46/D634/M.1463328257.A.208.html,
我們的國會，真的沒救了嗎？,No,政治,文章,,https://www.facebook.com/pg/simpleinfo/photos/?tab=album&album_id=508693352640110&ref=page_internal,
立委衝啥毀,No,政治,文章,,http://legislator.thenewslens.com/,
歷史會記住宋楚瑜,No,政治,文章,PTT,https://www.ptt.cc/bbs/PublicIssue/M.1436514069.A.F36.html,
公投,No,政治,文章,,http://euterpe0730.pixnet.net/blog/post/23804629-%E6%98%AF%E7%9A%84%EF%BC%8C%E9%80%99%E5%B0%B1%E6%98%AF%E6%B0%91%E4%B8%BB%E6%94%BF%E6%B2%BB,
8分鐘搞懂理財知識：期貨新手教室（上）,No,期貨,影片,youtube,https://www.youtube.com/watch?v=JcH6i_FqEyw&feature=youtu.be,
8分鐘搞懂理財知識：期貨新手教室（下）,No,期貨,影片,youtube,https://www.youtube.com/watch?v=K7ETmfHiw3M&feature=youtu.be,
Forex Trading A-Z? - With LIVE Examples of Forex Trading,No,外匯,課程,Udemy,https://www.udemy.com/forex-trading/learn/v4/overview,
Python 入門到製作股市分析,No,股票,課程,Udemy,https://www.udemy.com/python-stock-data/learn/v4/overview,
用Python打造智慧股票下單機,No,股票,課程,Udemy,https://www.udemy.com/python-stock-data/learn/v4/overview,
用 Python 理財：打造小資族選股策略,No,股票,課程,hahow,https://hahow.in/courses/5a2170d5a6d4a5001ec3148d/main,
用 Python 理財：打造自己的 AI 股票理專,No,股票,課程,hahow,https://hahow.in/courses/5b9d3a6dca498a001e917383,
科學化計量選股術,No,股票,課程,mastertalks,https://courses.mastertalks.tw/courses/take/value-investment/texts/4813929,
工程師學理財｜期貨自動化投資術,No,期貨,課程,hiskio,https://hiskio.com/courses/253/lectures/12700,
工程師學理財｜股票自動化煉金術,No,股票,課程,hiskio,https://hiskio.com/courses/252/lectures/15289,
工程師學理財｜投資起手式,No,理財,課程,hiskio,https://hiskio.com/courses/251/lectures/11793,
15 單元看懂經濟運行，掌握全球投資趨勢,No,理財,課程,hahow,https://hahow.in/courses/5cad79b0d133060020f44c5e,
小資族理財的第一堂入門課,No,理財,課程,hahow,https://hahow.in/courses/598c2c8ab987ea0700cea684/main,
Python for Financial Analysis and Algorithmic Trading,No,理財,課程,Udemy,https://www.udemy.com/python-for-finance-and-trading-algorithms/learn/v4/overview,
The Complete Python and JavaScript Course: Build Projects,No,理財,課程,Udemy,https://www.udemy.com/the-complete-python-and-javascript-course-build-projects/learn/v4/content,
商管研究中的賽局分析（一）：通路選擇、合約制定與共享經濟 (Game Theoretic Analysis for Business Research (1)) | Coursera,No,理財,課程,coursera,https://www.coursera.org/learn/gabr?utm_medium=email&utm_source=other&utm_campaign=partner.75.opencourse.targetedmessages.marketing~partner.75.ZAauZNEjEeiDDBIiQGzv5A,
商管研究中的賽局分析（二）：資訊經濟學 (Game Theoretic Analysis for Business Research (2)) | Coursera,No,理財,課程,coursera,https://www.coursera.org/learn/infoecon?utm_medium=email&utm_source=other&utm_campaign=partner.75.opencourse.targetedmessages.marketing~partner.75.ZAauZNEjEeiDDBIiQGzv5A,
臺灣新聞動態,No,時事,論壇,臺灣新聞動態,https://zh.wikipedia.org/wiki/Portal:%E8%87%BA%E7%81%A3%E6%96%B0%E8%81%9E%E5%8B%95%E6%85%8B,
沃草國會無雙,No,時事,論壇,沃草國會無雙,https://musou.tw/reports,
Mo PTT 鄉公所,No,時事,論壇,Mo PTT 鄉公所,https://moptt.tw/,
外匯風險準備金是做啥用的,No,外匯,文章,,https://kknews.cc/zh-tw/finance/4pvpme2.html,
看懂了這個，你再去炒股；股市暴跌，為啥散戶炒股票總賠錢？李永樂老師用數學告訴你！,No,股票,影片,youtube,https://www.youtube.com/watch?v=g-wCpEZBEdw&feature=youtu.be,
小資族保險的第一堂入門課,No,保險,課程,hahow,https://hahow.in/courses/5ca2cee872a72f0021514421/main,
8分鐘搞懂技術分析：輕鬆搞懂布林通道,No,理財,影片,youtube,https://www.youtube.com/watch?v=Igokja4-GZE&feature=youtu.be,
債務貨幣/金錢就是債務 第一部 (1/5) 繁體中文版.Money As Debt (1/5),No,理財,影片,youtube,https://www.youtube.com/watch?v=4qsvvokeFM4&feature=youtu.be,
資訊動畫：貨幣系統真相,No,理財,影片,youtube,https://www.youtube.com/watch?v=3xaQvyVh5j0&feature=youtu.be,
規劃保險～儲蓄險比較與介紹,No,保險,文章,,http://peymmm.pixnet.net/blog/post/365283533,
儲蓄險,No,保險,文章,PTT,https://www.ptt.cc/bbs/WomenTalk/M.1503882148.A.41D.html,
沒符合這些標準，根本別考慮買儲蓄險,No,保險,文章,,http://www.cheers.com.tw/article/article.action?id=5072359,
投資新手最想問的問題，怎看反轉訊號？（底部型態篇）,No,股票,文章,,https://getpocket.com/a/read/2037488416,
我每天必做的功課：1 分鐘看「主力買賣超」與「三大法人買賣超」,No,股票,文章,Cmoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=12116,
每股盈餘/股利/淨值,No,股票,文章,,https://tw.answers.yahoo.com/question/index?qid=20110804000016KK23258,
甚麼是 EPS？,No,股票,文章,Cmoney,http://www.cmoney.tw/learn/course/cmoney/topic/129,
資產報酬率,No,股票,文章,Cmoney,http://www.cmoney.tw/learn/course/0520/topic/761,
股東權益報酬率(ROE),No,股票,文章,Cmoney,http://www.cmoney.tw/learn/course/0520/topic/760,
負債比,No,股票,文章,Cmoney,http://www.cmoney.tw/learn/course/0520/topic/773,
股票入門教學懶人包,No,股票,文章,,https://goose168.com/%e9%b5%9d%e7%88%b8%e7%88%b8%e8%82%a1%e7%a5%a8%e5%85%a5%e9%96%80%e6%95%99%e5%ad%b8%e6%87%b6%e4%ba%ba%e5%8c%85/,
論攤平與凹單,No,股票,文章,PTT,https://www.ptt.cc/bbs/Stock/M.1445570728.A.E77.html,
減資的股票，每4檔就有1檔會虧50%?!,No,股票,文章,,https://rich01.com/4150-4/,
投機中沒有時限 - 就是在拗單,No,股票,文章,,https://rich01.com/blog-post_2185/,
